Energy	p(K=0)	p(K=1)	p(K>=2)
-1.605	0.0	0.0	1.0
-1.405	0.0	0.0	1.0
-0.8	0.0	0.0	1.0
-0.615	0.0	0.0	1.0
-0.7625	0.0	0.0	1.0
-0.3675	0.0	0.0	1.0
-1.35	0.0	0.0	1.0
-1.825	0.0	0.0	1.0
-1.395	0.0	0.0	1.0
-0.6375	0.0	0.0	1.0
-0.5175	0.0	0.0	1.0
-1.05	0.0	0.0	1.0
-1.39	0.0	0.0	1.0
-2.0	1.0	0.0	0.0
-0.1575	0.0	0.0	1.0
-1.71	0.0	0.0	1.0
-1.435	0.0	0.0	1.0
-1.0375	0.0	0.0	1.0
-0.8025	0.0	0.0	1.0
-1.555	0.0	0.0	1.0
-0.4975	0.0	0.0	1.0
-1.2075	0.0	0.0	1.0
-1.1025	0.0	0.0	1.0
-1.895	0.0	0.0	1.0
-1.55	0.0	0.0	1.0
-1.79	0.0	0.0	1.0
-0.56	0.0	0.0	1.0
-1.5225	0.0	0.0	1.0
-0.2925	0.0	0.0	1.0
-1.2675	0.0	0.0	1.0
-0.355	0.0	0.0	1.0
-0.3025	0.0	0.0	1.0
-1.9375	0.0	0.0	1.0
-1.3025	0.0	0.0	1.0
-0.91	0.0	0.0	1.0
-0.73	0.0	0.0	1.0
-1.14	0.0	0.0	1.0
-1.38	0.0	0.0	1.0
-0.1225	0.0	0.0	1.0
-1.7125	0.0	0.0	1.0
-1.29	0.0	0.0	1.0
-1.565	0.0	0.0	1.0
-1.6725	0.0	0.0	1.0
-0.1425	0.0	0.0	1.0
-1.81	0.0	0.0	1.0
-0.32	0.0	0.0	1.0
-0.7475	0.0	0.0	1.0
-1.09	0.0	0.0	1.0
-1.235	0.0	0.0	1.0
-0.2725	0.0	0.0	1.0
-0.88	0.0	0.0	1.0
-1.0175	0.0	0.0	1.0
-0.315	0.0	0.0	1.0
-0.77	0.0	0.0	1.0
-0.265	0.0	0.0	1.0
-1.015	0.0	0.0	1.0
-0.9375	0.0	0.0	1.0
-0.2825	0.0	0.0	1.0
-0.665	0.0	0.0	1.0
-1.5775	0.0	0.0	1.0
-0.0825	0.0	0.0	1.0
-0.69	0.0	0.0	1.0
-1.975	0.0	0.0	1.0
-1.8775	0.0	0.0	1.0
-1.5975	0.0	0.0	1.0
-0.4075	0.0	0.0	1.0
-0.575	0.0	0.0	1.0
-1.7375	0.0	0.0	1.0
-0.5975	0.0	0.0	1.0
-1.6975	0.0	0.0	1.0
-0.89	0.0	0.0	1.0
-1.0325	0.0	0.0	1.0
-0.63	0.0	0.0	1.0
-0.62	0.0	0.0	1.0
-0.1325	0.0	0.0	1.0
-1.335	0.0	0.0	1.0
-0.55	0.0	0.0	1.0
-1.6075	0.0	0.0	1.0
-1.875	0.0	0.0	1.0
-0.995	0.0	0.0	1.0
-0.415	0.0	0.0	1.0
-0.7225	0.0	0.0	1.0
-0.4	0.0	0.0	1.0
-0.735	0.0	0.0	1.0
-1.26	0.0	0.0	1.0
-0.725	0.0	0.0	1.0
-0.36	0.0	0.0	1.0
-1.055	0.0	0.0	1.0
-0.6675	0.0	0.0	1.0
-1.145	0.0	0.0	1.0
-0.295	0.0	0.0	1.0
-0.1925	0.0	0.0	1.0
-0.64	0.0	0.0	1.0
-1.2775	0.0	0.0	1.0
-1.665	0.0	0.0	1.0
-1.4175	0.0	0.0	1.0
-0.9	0.0	0.0	1.0
-0.645	0.0	0.0	1.0
-1.58	0.0	0.0	1.0
-0.2175	0.0	0.0	1.0
-1.845	0.0	0.0	1.0
-0.565	0.0	0.0	1.0
-1.7725	0.0	0.0	1.0
-1.2975	0.0	0.0	1.0
-0.9075	0.0	0.0	1.0
-1.085	0.0	0.0	1.0
-1.1675	0.0	0.0	1.0
-0.16	0.0	0.0	1.0
-1.985	0.0	0.0011890606420927466	0.9988109393579072
-1.3	0.0	0.0	1.0
-1.66	0.0	0.0	1.0
-1.2625	0.0	0.0	1.0
-1.705	0.0	0.0	1.0
-1.72	0.0	0.0	1.0
-1.4025	0.0	0.0	1.0
-0.9525	0.0	0.0	1.0
-1.84	0.0	0.0	1.0
-0.655	0.0	0.0	1.0
-0.865	0.0	0.0	1.0
-1.7	0.0	0.0	1.0
-0.4375	0.0	0.0	1.0
-0.3725	0.0	0.0	1.0
-1.1875	0.0	0.0	1.0
-0.42	0.0	0.0	1.0
-1.245	0.0	0.0	1.0
-1.285	0.0	0.0	1.0
-1.345	0.0	0.0	1.0
-1.6825	0.0	0.0	1.0
-0.955	0.0	0.0	1.0
-0.4625	0.0	0.0	1.0
-1.9925	0.0	0.0	1.0
-0.485	0.0	0.0	1.0
-1.5525	0.0	0.0	1.0
-0.535	0.0	0.0	1.0
-1.5625	0.0	0.0	1.0
-1.69	0.0	0.0	1.0
-0.7575	0.0	0.0	1.0
-0.6125	0.0	0.0	1.0
-1.5075	0.0	0.0	1.0
-1.225	0.0	0.0	1.0
-0.3375	0.0	0.0	1.0
-0.71	0.0	0.0	1.0
-0.5875	0.0	0.0	1.0
-1.61	0.0	0.0	1.0
-0.1125	0.0	0.0	1.0
-1.9825	0.0	0.0	1.0
-1.7475	0.0	0.0	1.0
-0.3975	0.0	0.0	1.0
-1.295	0.0	0.0	1.0
-0.6525	0.0	0.0	1.0
-1.42	0.0	0.0	1.0
-0.5675	0.0	0.0	1.0
-0.4175	0.0	0.0	1.0
-0.61	0.0	0.0	1.0
-1.5025	0.0	0.0	1.0
-1.8175	0.0	0.0	1.0
-0.84	0.0	0.0	1.0
-1.3725	0.0	0.0	1.0
-1.51	0.0	0.0	1.0
-1.3475	0.0	0.0	1.0
-1.5925	0.0	0.0	1.0
-0.2775	0.0	0.0	1.0
-1.635	0.0	0.0	1.0
-1.935	0.0	0.0	1.0
-1.98	0.0	0.0	1.0
-0.8475	0.0	0.0	1.0
-0.1375	0.0	0.0	1.0
-1.355	0.0	0.0	1.0
-1.4825	0.0	0.0	1.0
-1.1425	0.0	0.0	1.0
-1.2275	0.0	0.0	1.0
-0.79	0.0	0.0	1.0
-0.8425	0.0	0.0	1.0
-1.4225	0.0	0.0	1.0
-1.185	0.0	0.0	1.0
-0.72	0.0	0.0	1.0
-0.93	0.0	0.0	1.0
-0.3775	0.0	0.0	1.0
-0.5325	0.0	0.0	1.0
-0.6025	0.0	0.0	1.0
-1.815	0.0	0.0	1.0
-1.8075	0.0	0.0	1.0
-0.2275	0.0	0.0	1.0
-1.43	0.0	0.0	1.0
-1.725	0.0	0.0	1.0
-1.3075	0.0	0.0	1.0
-0.5925	0.0	0.0	1.0
-0.8125	0.0	0.0	1.0
-1.5375	0.0	0.0	1.0
-1.02	0.0	0.0	1.0
-1.41	0.0	0.0	1.0
-0.385	0.0	0.0	1.0
-1.155	0.0	0.0	1.0
-1.1	0.0	0.0	1.0
-0.4275	0.0	0.0	1.0
-1.6475	0.0	0.0	1.0
-1.1325	0.0	0.0	1.0
-0.22	0.0	0.0	1.0
-0.9225	0.0	0.0	1.0
-1.0675	0.0	0.0	1.0
-0.5225	0.0	0.0	1.0
-0.6625	0.0	0.0	1.0
-0.7675	0.0	0.0	1.0
-0.97	0.0	0.0	1.0
-1.01	0.0	0.0	1.0
-1.735	0.0	0.0	1.0
-0.305	0.0	0.0	1.0
-0.44	0.0	0.0	1.0
-1.105	0.0	0.0	1.0
-1.035	0.0	0.0	1.0
-0.4775	0.0	0.0	1.0
-1.575	0.0	0.0	1.0
-0.7275	0.0	0.0	1.0
-0.175	0.0	0.0	1.0
-0.39	0.0	0.0	1.0
-0.4925	0.0	0.0	1.0
-0.215	0.0	0.0	1.0
-1.15	0.0	0.0	1.0
-1.34	0.0	0.0	1.0
-0.5525	0.0	0.0	1.0
-1.7775	0.0	0.0	1.0
-0.4025	0.0	0.0	1.0
-0.795	0.0	0.0	1.0
-0.1725	0.0	0.0	1.0
-1.8025	0.0	0.0	1.0
-0.2475	0.0	0.0	1.0
-1.78	0.0	0.0	1.0
-0.1875	0.0	0.0	1.0
-0.9975	0.0	0.0	1.0
-0.465	0.0	0.0	1.0
-0.4475	0.0	0.0	1.0
-0.4125	0.0	0.0	1.0
-0.15	0.0	0.0	1.0
-1.165	0.0	0.0	1.0
-0.235	0.0	0.0	1.0
-1.0775	0.0	0.0	1.0
-0.12	0.0	0.0	1.0
-0.98	0.0	0.0	1.0
-0.3875	0.0	0.0	1.0
-1.74	0.0	0.0	1.0
-0.96	0.0	0.0	1.0
-1.1975	0.0	0.0	1.0
-0.7925	0.0	0.0	1.0
-0.1175	0.0	0.0	1.0
-0.14	0.0	0.0	1.0
-0.915	0.0	0.0	1.0
-1.45	0.0	0.0	1.0
-1.5475	0.0	0.0	1.0
-1.1125	0.0	0.0	1.0
-1.23	0.0	0.0	1.0
-1.44	0.0	0.0	1.0
-1.065	0.0	0.0	1.0
-1.905	0.0	0.0	1.0
-0.445	0.0	0.0	1.0
-1.7225	0.0	0.0	1.0
-0.7325	0.0	0.0	1.0
-0.23	0.0	0.0	1.0
-0.94	0.0	0.0	1.0
-0.48	0.0	0.0	1.0
-1.31	0.0	0.0	1.0
-0.66	0.0	0.0	1.0
-0.875	0.0	0.0	1.0
-1.7875	0.0	0.0	1.0
-0.275	0.0	0.0	1.0
-1.27	0.0	0.0	1.0
-0.1525	0.0	0.0	1.0
-0.335	0.0	0.0	1.0
-0.3475	0.0	0.0	1.0
-1.52	0.0	0.0	1.0
-0.395	0.0	0.0	1.0
-1.9875	0.0	0.0	1.0
-1.8225	0.0	0.0	1.0
-1.7025	0.0	0.0	1.0
-0.7075	0.0	0.0	1.0
-1.91	0.0	0.0	1.0
-1.2525	0.0	0.0	1.0
-1.75	0.0	0.0	1.0
-1.125	0.0	0.0	1.0
-0.1675	0.0	0.0	1.0
-0.715	0.0	0.0	1.0
-1.645	0.0	0.0	1.0
-0.47	0.0	0.0	1.0
-1.305	0.0	0.0	1.0
-1.2225	0.0	0.0	1.0
-0.6425	0.0	0.0	1.0
-1.7575	0.0	0.0	1.0
-1.99	0.0007836990595611285	0.0	0.9992163009404389
-1.685	0.0	0.0	1.0
-1.3125	0.0	0.0	1.0
-1.0075	0.0	0.0	1.0
-1.3925	0.0	0.0	1.0
-1.2825	0.0	0.0	1.0
-0.7025	0.0	0.0	1.0
-1.4675	0.0	0.0	1.0
-1.9325	0.0	0.0	1.0
-0.18	0.0	0.0	1.0
-0.5	0.0	0.0	1.0
-0.3075	0.0	0.0	1.0
-1.3425	0.0	0.0	1.0
-1.7525	0.0	0.0	1.0
-0.5375	0.0	0.0	1.0
-0.52	0.0	0.0	1.0
-0.2375	0.0	0.0	1.0
-0.625	0.0	0.0	1.0
-0.695	0.0	0.0	1.0
-0.9575	0.0	0.0	1.0
-1.8475	0.0	0.0	1.0
-1.87	0.0	0.0	1.0
-0.74	0.0	0.0	1.0
-1.965	0.0	0.0	1.0
-1.25	0.0	0.0	1.0
-1.4925	0.0	0.0	1.0
-1.37	0.0	0.0	1.0
-1.205	0.0	0.0	1.0
-1.415	0.0	0.0	1.0
-0.2325	0.0	0.0	1.0
-1.5875	0.0	0.0	1.0
-0.935	0.0	0.0	1.0
-1.6875	0.0	0.0	1.0
-1.8575	0.0	0.0	1.0
-1.48	0.0	0.0	1.0
-0.95	0.0	0.0	1.0
-1.2025	0.0	0.0	1.0
-0.9725	0.0	0.0	1.0
-1.675	0.0	0.0	1.0
-0.5725	0.0	0.0	1.0
-1.4875	0.0	0.0	1.0
-0.965	0.0	0.0	1.0
-1.455	0.0	0.0	1.0
-1.775	0.0	0.0	1.0
-1.6325	0.0	0.0	1.0
-1.8725	0.0	0.0	1.0
-1.2575	0.0	0.0	1.0
-0.4675	0.0	0.0	1.0
-1.7325	0.0	0.0	1.0
-0.86	0.0	0.0	1.0
-0.2525	0.0	0.0	1.0
-0.85	0.0	0.0	1.0
-0.635	0.0	0.0	1.0
-0.425	0.0	0.0	1.0
-1.2325	0.0	0.0	1.0
-1.1375	0.0	0.0	1.0
-0.8225	0.0	0.0	1.0
-0.17	0.0	0.0	1.0
-1.1275	0.0	0.0	1.0
-1.8275	0.0	0.0	1.0
-0.5575	0.0	0.0	1.0
-0.4575	0.0	0.0	1.0
-1.655	0.0	0.0	1.0
-1.3625	0.0	0.0	1.0
-0.525	0.0	0.0	1.0
-1.615	0.0	0.0	1.0
-0.9875	0.0	0.0	1.0
-0.8825	0.0	0.0	1.0
-1.59	0.0	0.0	1.0
-0.2225	0.0	0.0	1.0
-1.97	0.0	0.0	1.0
-1.5575	0.0	0.0	1.0
-1.0025	0.0	0.0	1.0
-0.6475	0.0	0.0	1.0
-0.1	0.0	0.0	1.0
-1.65	0.0	0.0	1.0
-0.7425	0.0	0.0	1.0
-1.64	0.0	0.0	1.0
-1.855	0.0	0.0	1.0
-0.3125	0.0	0.0	1.0
-0.775	0.0	0.0	1.0
-0.3825	0.0	0.0	1.0
-0.8675	0.0	0.0	1.0
-0.6	0.0	0.0	1.0
-1.54	0.0	0.0	1.0
-1.0	0.0	0.0	1.0
-0.855	0.0	0.0	1.0
-0.815	0.0	0.0	1.0
-0.8925	0.0	0.0	1.0
-1.0875	0.0	0.0	1.0
-0.99	0.0	0.0	1.0
-0.6925	0.0	0.0	1.0
-1.85	0.0	0.0	1.0
-0.78	0.0	0.0	1.0
-1.265	0.0	0.0	1.0
-0.585	0.0	0.0	1.0
-1.0425	0.0	0.0	1.0
-1.8325	0.0	0.0	1.0
-0.75	0.0	0.0	1.0
-1.1825	0.0	0.0	1.0
-1.9175	0.0	0.0	1.0
-1.36	0.0	0.0	1.0
-0.92	0.0	0.0	1.0
-1.1225	0.0	0.0	1.0
-1.445	0.0	0.0	1.0
-1.0275	0.0	0.0	1.0
-0.8325	0.0	0.0	1.0
-0.8975	0.0	0.0	1.0
-0.9325	0.0	0.0	1.0
-0.1825	0.0	0.0	1.0
-0.24	0.0	0.0	1.0
